tristesse,peur,colère,neutre,surprise,joie,input
0,0,0,1,0,0,d'accord alors nous effectivement on va faire le recalibrage à partir du moment où nous avons changé le pare-brise
0,0,0,1,0,0,euh qu'est-ce qui est passé là actuellement exactement vous avez changé le pare-brise c'est ça ?
0,0,0,1,0,0,d'accord ok en tout ça sera pas d'accord alors nous on interviendra pas sur ce genre de chose étant donné que c'est pas nous qui avons mis le pare-brise ce que je peux vous conseiller éventuellement c'est d'appeler directement le comment dire euh la concession de votre véhicule
0,0,0,1,0,0,d'accord alors là je vais ouais
0,0,1,0,0,0,je vais commencer par vous dire madame que j'avais rendez-vous le premier octobre dernier
0,0,1,0,0,0,on a reporté à mercredi six octobre dans la matinée hein je c’est pas le cinq c'est le six et c'est pas mardi c’est mercredi alors maintenant j'apprends que ça serait mardi donc ça ça fait pour les gens complètement <noise> on est emmerdé alors avec euh si c’est pas le téléphone c'est votre secrétariat enfin ça va pas du tout tout ça hein ah non vous m’avez dit ce serait rendez-vous j'ai rendez-vous avec le le cinq c'est-à-dire demain non c'est je n'ai pas rendez-vous le cinq j'ai rendez-vous le six alors enfin on va on va essayer d’y voir clair voilà
0,0,1,0,0,0,votre publicité me casse les couilles
0,0,0,0,0,1,d'accord très bien
0,0,1,0,0,0,bah je sais pas dites-moi
0,0,1,0,0,0,j'en sais rien je
0,1,0,0,0,0,dites dites-moi moi
0,1,0,0,0,0,je veux pas être facturée après
0,1,0,0,0,0,là c'est sûr que j'ai rien à payer c'est bien pris en charge
0,0,0,0,0,1,d'accord merci
0,0,0,0,0,1,rassurez-vous
0,0,0,1,0,0,alors des questions ?
0,0,0,1,0,0,non ça va donc oui c'est ça
