text,emotion
d'accord je vais vous prendre un rendez-vous là tout de suite je vous prie de me communiquer votre nom et prénom, neutre
alors oui soit vous passez en centre soit mon collègue il vient chez vous, neutre
parfait bah parfait,joie
parfait super,joie
parfait merci beaucoup,joie
c'est bien ça parfait là c'est parfait c'est bon c'est bon là je viens de le corriger c'est parfait,joie
super,joie
vous souhaite une agréable journée merci beaucoup,joie
très bien très bien,joie
je vous remercie beaucoup,joie
avec un grand plaisir,joie
merci bien,joie
là malheureusement cette intervention ce fait enfin cette promotion se fait uniquement si on change le pare-brise,tristesse
après moi personnellement je peux rien faire,tristesse
bon ben écoutez comme vous voulez hein,tristesse
parce que ça fait deux fois même que ça fait trois fois que j'ai essayé de vous appeler,colère
ce ce fixe marche mal,colère
c'est complètement dans les choux,colère
ça fait deux fois suivant que vous vous trompez voilà,colère
il va y avoir des problèmes le parasite parce que je je peux pas arriver à vous comprendre là,colère
il y a une erreur c'est sûr qu'il y a une erreur c'est sûr,colère
mais madame je vous confirme pas,colère
ben c'est une erreur et ben c'est une erreur madame vous avez commis une erreur,colère
ah non je l'ai pas je veux pas je vais pas,peur
vous voulez quoi que je oh il faut il faut il faut le refaire avoir un certificat euh un secrétariat qui fonctionne,colère
j'ai pas d'autre chose à j'ai pas d'autre chose à vous donner comme renseignements vous avez tout tout tout,colère
non non non bah non j'ai rien avec moi là non je suis dans la rue,peur
ouais super,joie
donc Audi lui ont dit que n'importe quoi qu’ils étaient pas partenaires que c'était ils étaient pas là enfin qu’ils étaient pas là pour changer des pare-brise Audi que c'était et caetera enfin voilà ils ont vraiment cassé du sucre derrière l’agence,colère
donc au début ben il était un peu remonté,colère
et qu’en aucun cas il avait dit qu'ils étaient partenaires ou quoi que ce soit,colère
et puis là je il a il rappelle ce matin super énervé,colère
on m’a encore fait payer une facture de diagnostic,colère
un jour au mois d'août bah donnez j- j- donnez-moi une date,colère
ça vous parez des lettres un peu chiant,colère
soyez sympa,dégoût
qu'ils vont être au minimum <noise> et sympathique et pas trop vous embêter,joie
euh alors moi je suis pas de la région,peur
parce que moi je ne suis pas du tout sur Sainte,peur
pas de souci,joie
après le reste de la france c'est un peu compliqué pour moi,peur
putain merde,colère
c'est pas bien grave,tristesse
j'ai rien pour noter là,colère
euh oui oui attendez attendez oui mais attendez je vous explique,colère
résultat des courses j’ai quoi que dalle je rappelle le service facturation là j'ai passé près de sept minutes donc moi étant donné que Carglass n'est pas honnête ne veut pas m'envoyer la facture comme quoi j'ai payé,colère
parce qu'elle travaille à la mairie euh la même mairie que moi elle est élue haut placé donc si vous avez de quoi noter c’est maître Ceperreau Marie-Estelle c’est une avocate,colère
je lui ai expliqué que ça faisait trois fois que je vous appelais ça répond pas personne veut me délivrer le document que j'ai droit,colère
il est quand même quatre heures et quart j'ai toujours rien donc euh là je suis devant l'ordinateur je veux j'aimerais savoir si vous allez me l'envoyer parce que je vous le dis honnêtement mon avocate est prêt à vous envoyer un courrier euh assez salé,colère
je sais pas je je je sais pas je sais pas,peur
moi j'ai moi j'ai pas à mon niveau j'ai pas les j'ai pas les infos à mon niveau,peur
ok d'accord très bien,joie
parce que je je sais pas ce que je sais pas,peur
ah ouais vous avez d'autres cli- vous avez d'autres clients dans ce cas-là je sais pas mais ne dites pas des choses que vous êtes pas capable de faire ben écoutez non non moi ce que je vais faire écoutez ce que je vais faire non non ce que je vais faire voilà moi ce que ce que je vais faire vous embêtez pas faites-le pas je vais avertir maître Ceperreau,colère
je vais lui dire que vous refusez je vais lui dire que vous refusez de m'envoyer la facture voilà,colère
on ne refuse pas monsieur je toute façon tous nos appels sont enregistrés monsieur donc il y a pas de problème hein y a pas de problème monsieur bah vous pouvez dire que je qu'on refuse mais c'est pas le cas on refuse pas je fais le nécessaire auprès de auprès non je fais le nécessaire je fais le nécessaire auprès du centre monsieur je peux pas vous dire plus,colère
je peux pas le faire à mon niveau je peux pas le faire j'ai pas la main,colère
donc dans dans dans ce cas-là ouais bah dans ce cas-là vos collègues faut que voilà faut qu'elles arrêtent de mentir au téléphone quoi faut qu'elles arrêtent de mentir bah si c'est des excusez-moi mais c'est des mensonges ,colère
quand j'arrive il est quatre heures et quart j'ai rien du tout excusez-moi si c'est pas des mensonges je sais pas ce qu'il vous faut hein,colère
elle fait que rouspéter quand quand je je touche les lignes,colère
ah non non vendredi matin c'est pas possible euh attendez bougez pas je regarde,peur
putain la bagnole elle est toute neuve bah je dis fait chier quoi,colère
ça vous retourne hein,tristesse
vous les vous voyez ce que je veux dire,joie
pff non mais ouais ça je ouais,colère
ils prennent rien ils cassent pour le plaisir ils cassent pour euh comme ça,colère
oh ça fait loin,surprise
ah je sais pas si c'est pa- si c'est possible,peur
je fais ça si c'est pas gênant,joie
roh,colère
ah si ah non,surprise
ah pff ouais c'est chian,colère
ça va tout me chambouler je suis désolée,tristesse
ah euh parce que oui sinon on aurait mis euh,peur
bon bah je sais pas,peur
je vais essayer de me débrouiller avec lui hein,colère
euh ouais ça va être chiant,colère
ils ont pas de dispo de toute façon,colère
ah c'est vrai que c'est infernal,colère
je ne connais même pas votre nom,dégoût
bah oui votre nom à vous-même,colère
bon bah je vais vous dire il y a à peu près une demi-heure que je que je suis dans un bourrier complète entre mon téléphone fixe ainsi que le portable,colère
votre collègue euh secrétaire aussi a été charmante,joie
ça va pas du tout c'est le bordel comme on dit grossièrement en France,colère
c'est une grosse erreur ça fait quatre ou cinq fois que ça ressort que ça se reproduit avec votre service et je voudrais enfin y voir clair voilà,colère
vous avez tout ce qu'il faut pour trouver le dossier et enfin y voir clair avec vous,colère
et bah écoutez bah c'est une grosse erreur je vais vous dire,colère
bien sûr qu'est-ce que vous avez exactement ?, neutre
d'accord alors nous effectivement on va faire le recalibrage à partir du moment où nous avons changé le pare-brise, neutre
euh qu'est-ce qui est passé là actuellement exactement vous avez changé le pare-brise c'est ça ?, neutre
d'accord ok en tout ça sera pas d'accord alors nous on interviendra pas sur ce genre de chose étant donné que c'est pas nous qui avons mis le pare-brise ce que je peux vous conseiller éventuellement c'est d'appeler directement le comment dire euh la concession de votre véhicule, neutre
d'accord alors là je vais ouais, neutre
je vais commencer par vous dire madame que j'avais rendez-vous le premier octobre dernier,colère
on a reporté à mercredi six octobre dans la matinée hein je c’est pas le cinq c'est le six et c'est pas mardi c’est mercredi alors maintenant j'apprends que ça serait mardi donc ça ça fait pour les gens complètement <noise> on est emmerdé alors avec euh si c’est pas le téléphone c'est votre secrétariat enfin ça va pas du tout tout ça hein ah non vous m’avez dit ce serait rendez-vous j'ai rendez-vous avec le le cinq c'est-à-dire demain non c'est je n'ai pas rendez-vous le cinq j'ai rendez-vous le six alors enfin on va on va essayer d’y voir clair voilà,colère
votre publicité me casse les couilles,colère
d'accord très bien,joie
bah je sais pas dites-moi,colère
j'en sais rien je,colère
dites dites-moi moi,peur
je veux pas être facturée après,peur
là c'est sûr que j'ai rien à payer c'est bien pris en charge,peur
d'accord merci,joie
rassurez-vous,joie
alors des questions ?, neutre
non ça va donc oui c'est ça, neutre
